Adaptability,Low ,Middle ,High ,Column1
Adaptability,"When asked to change seats, he was not ready at all.",Try to follow instruction though did not like to be seperated by friends . ,"When asked to change seats, he was ready immediately",
,Cant accept mistakes.,changed seats but with reluctance,Follow throught he instructions without resistance. ,
Academic achievement,"Can't write, can't read, can't understand what is said",Tried answering the question ,"Presentation was well done, proper language was used",
,Took a ong time in completing the task (submitted their work late),attentive but hesistant while answering," giving answers, remembering the previous level. ",Attentve in lecture
,couldn't spell their own name,Slow speed in reading and writing. But trying to improve constantly,Very focused and efficient while solving tests.,
,Couldn’t understand the test even after explaining ,,Attention,
,Easily distracted.,,was asking if have difficulty,
,Cnat do the basic maths. ,,,
Boldness,"Even if asked, doesn't answer.",Presented with confidence,The children left even though the session wasn't over when the bell rang.,
,Didn’t come forward to ask doubts instead asked friends. ,hesitate to talk at first letter explained well,They were playing with each other in class.,
,When asked a question she startled and couldn’t answer.,"If  don't understand, raise  hand and ask questions ",Fighting ,
,,,Inattentive in the class ,
,,,Had ideas but was discussing with others,
,,,Don’t hesitate to say anything that comes to there mind.,
,,,Keep suggesting things to others even when it was not asked. ,
,,,"Contatnt teasing , bullying others. ",
Competition,,,Asking how may questions have others solved.Trying to compete. ,
,,,He was constatntly telling how much he has completed. ,
Creativity,,,Asking unique questions and coming up with ideas. ,
Enthusiasm,attentive but not participating,participated wholehartedly ,Was taking a lot of leadership,
,Eagerly waiting to go out. Asking when the session will end.,Showed willingness to learn new skills,Very enthusiastic,
,"Casual Approach, No seriousness. ",They answer in class but need encouagement.,Was participating,
,,,Answering confidently,
,,,Very enthusiastic (understands everything but only gives answers sometimes),
Excitability,There was no emotion on the face.,,"Very distracted, not paying attention.",started to laugh even before the shloak started 
,non responsive,,Responds quickly to anything that happens without thinking.,
,,,Continusly talking and fidgeting ,
,,,He wanted to just give the test and leave. ,
General ability,had difficulty understanding simple instructions,Understood the instructions properly. ,ability to retain things taught and apply.,
,"Didn’t know basic details about himself like birth date, etc.",Can read and write but mumbles a lot. ,Remembers the small details and points out smallest changes.,
,Irrelavant answers. ,Pointed out the problems in the test.,,
guilt proneness, Don't feel ashamed doing anything.,,Put head down when the question was about completing task ,pointing out made him feel really ashamed
,Not afraid even when shouted at,,,
 individualism,,,Prefers to work alone ,
innovation,,,,
leadership,,have ideas but do not express upfront,coming forward and helping,did'nt let anyone else answer 
,,,took a lot of lead in answering ,
,,,Answering on behalf of all calss,
maturity,No seriousness ,"If someone teases me,  will beat him.",,
mental health, was engrossed in my own thoughts.,,Showed resilinece and persistecne while solving the test and constantly tryong to improve.,
,No eye contact ,,,
morality,Did not accept their mistake for given excuses ,without disturbong the claas discuss with friends ,Honestly told that he cant read. ,
,they did not return promptly and stayed away too long.,After scolding went quite ,,
,Copying from others.,,,
self control,Constantly disturbing the class,Didn’t feel inferior when they were not able to understand.,,
,provided a reason to leave the classroom,,,
,Easily distracted.,,,
,Constantly chatting with each other,,,
,Can't follow the rules.,,,
,"There was constant chatter , commotion",,,
sensitivity,,,hurts a lot.,
,,,Attention seeking . Asking unnecessary irrelevant questions,
self sufficiency,Overly dependant on friend ,Very well organised. Keeps things neat and clean,explained personality very well and detailed ,
,Constatnt assistance required.,,Very focused  on the task and asked for help when needed,
,,,No assistance was needed.,
social warmth,Wasn't talking to anyone. ,Having discussion with friend ,Helped a friend to understand. ,
,insensitive to others andpulling each other's leg,Does not mix up with classmates. ,Helps and coopearte with the facilitator.,
,Not able to communicate properly with friends. ,,,
,Keeps comlaining about the  friends. ,,,
tension,,Appeared in a distress. ,Started crying when asked ifshe was ok. ,